k_as_2,k_as_5,k_as_10
121158.67421214267,120044.23380868131,120178.87257270115
124964.83870334139,122897.24824165108,115875.04107197413
114123.34447704277,116323.78086588779,119186.60835019218
120455.1662536303,116289.27099932753,118174.1457427083
127276.17134744333,120193.50077037369,119981.45796908533
120375.73776357826,119318.96175577033,116826.31227545002
124579.35009731437,119970.182005278,116489.17606480945
127370.50298775928,121166.74103924901,122149.936431131
131975.93609999443,119915.57998410767,119973.72051397641
125597.97932800045,123226.47367301777,116750.44051403069
132549.0680127701,124596.86522592546,114352.52701003401
127105.72378040536,120231.6056502997,121770.17587696557
140292.9641729386,119616.80975098877,116057.60314376662
133534.0840655981,123725.11761474899,119646.07484621937
133864.47923913668,122358.89988154877,118000.9805151085
120586.36765129733,116059.96143601244,116090.57218971159
130144.89871590173,124358.12019664838,122494.4696503537
126635.35366080569,126047.73043064882,120437.01306388379
130484.01854921668,120663.60567566197,119718.61207336244
128387.40416957754,119635.56287495336,119199.05741100556
118391.8741356536,123778.19268908145,120537.34315795686
129577.63571792583,119653.22805797964,114860.2594252959
132523.66031002492,118929.08259484812,116408.8777482833
123304.33201600684,118470.50733124965,117373.61438856792
126355.53573322915,120186.59146523188,119952.32627814394
128388.01318895973,116574.06275087038,120542.72290852132
123982.08326266849,121762.32215879144,119998.57313424122
122416.65499924899,123878.38770740523,114727.07431962466
129210.19559807351,124033.12090891245,118695.37111306246
130175.31198798315,115555.72565443492,116411.49525457702
